V1,V2,V3
-122.857256937512,-8,-4417
-122.790576961469,-8,-4339
-122.723896985426,-8,-4322
-122.657217009383,-8,-4296
-122.59053703334,-8,-4360
-122.523857057297,-8,-4448
-122.457177081254,-8,-4480
-122.390497105211,-8,-4390
-122.323817129167,-8,-4200
-122.257137153124,-8,-4311
-122.190457177081,-8,-4468
-122.123777201038,-8,-4648
-122.057097224995,-8,-4534
-121.990417248952,-8,-4554
-121.923737272909,-8,-4398
-121.857057296866,-8,-4315
-121.790377320823,-8,-4526
-121.723697344779,-8,-4468
-121.657017368736,-8,-4414
-121.590337392693,-8,-4535
-121.52365741665,-8,-4552
-121.456977440607,-8,-4456
-121.390297464564,-8,-4401
-121.323617488521,-8,-4409
-121.256937512478,-8,-4383
-121.190257536434,-8,-4458
-121.123577560391,-8,-4441
-121.056897584348,-8,-4372
-120.990217608305,-8,-4430
-120.923537632262,-8,-4396
-120.856857656219,-8,-4370
-120.790177680176,-8,-4353
-120.723497704133,-8,-4348
-120.656817728089,-8,-4379
-120.590137752046,-8,-4393
-120.523457776003,-8,-4354
-120.45677779996,-8,-4291
-120.390097823917,-8,-4325
-120.323417847874,-8,-4390
-120.256737871831,-8,-4338
-120.190057895788,-8,-4303
-120.123377919744,-8,-4287
-120.056697943701,-8,-4317
-119.990017967658,-8,-4302
-119.923337991615,-8,-4258
-119.856658015572,-8,-4295
-119.789978039529,-8,-4384
-119.723298063486,-8,-4348
-119.656618087443,-8,-4322
-119.589938111399,-8,-4393
-119.523258135356,-8,-4410
-119.456578159313,-8,-4396
-119.38989818327,-8,-4421
-119.323218207227,-8,-4407
-119.256538231184,-8,-4351
-119.189858255141,-8,-4385
-119.123178279098,-8,-4403
-119.056498303054,-8,-4424
-118.989818327011,-8,-4455
-118.923138350968,-8,-4436
-118.856458374925,-8,-4364
-118.789778398882,-8,-4296
-118.723098422839,-8,-4354
-118.656418446796,-8,-4400
-118.589738470753,-8,-4346
-118.52305849471,-8,-4383
-118.456378518666,-8,-4410
-118.389698542623,-8,-4409
-118.32301856658,-8,-4412
-118.256338590537,-8,-4410
-118.189658614494,-8,-4441
-118.122978638451,-8,-4392
-118.056298662408,-8,-4406
-117.989618686365,-8,-4503
-117.922938710321,-8,-4468
-117.856258734278,-8,-4401
-117.789578758235,-8,-4377
-117.722898782192,-8,-4307
-117.656218806149,-8,-4280
-117.589538830106,-8,-4457
-117.522858854063,-8,-4636
-117.45617887802,-8,-4569
-117.389498901976,-8,-4478
-117.322818925933,-8,-4471
-117.25613894989,-8,-4522
-117.189458973847,-8,-4452
-117.122778997804,-8,-4414
-117.056099021761,-8,-4447
-116.989419045718,-8,-4265
-116.922739069675,-8,-4183
-116.856059093631,-8,-4270
-116.789379117588,-8,-4255
-116.722699141545,-8,-4244
-116.656019165502,-8,-4217
-116.589339189459,-8,-4179
-116.522659213416,-8,-4176
-116.455979237373,-8,-4183
-116.38929926133,-8,-4208
-116.322619285286,-8,-4143
-116.255939309243,-8,-4183
-116.1892593332,-8,-4188
-116.122579357157,-8,-4186
-116.055899381114,-8,-4143
-115.989219405071,-8,-4086
-115.922539429028,-8,-4122
-115.855859452985,-8,-4145
-115.789179476942,-8,-4106
-115.722499500898,-8,-4060
-115.655819524855,-8,-4121
-115.589139548812,-8,-4260
